"code_commune_insee","nom_de_la_commune","code_postal","libelle_d_acheminement","ligne_5","_geopoint","latitude","longitude"
"01066","LA BURBANCHE","01510","LA BURBANCHE",,"45.86286551234934,5.548028109025799","45.86286551234934","5.548028109025799"
"01067","CEIGNES","01430","CEIGNES",,"46.12579065861546,5.495703306025851","46.12579065861546","5.495703306025851"
"01068","CERDON","01450","CERDON",,"46.07499629401971,5.475461627945917","46.07499629401971","5.475461627945917"
"01069","CERTINES","01240","CERTINES",,"46.13364656264187,5.263845912232249","46.13364656264187","5.263845912232249"
"01071","CESSY","01170","CESSY",,"46.315710764778075,6.0820202074041205","46.315710764778075","6.0820202074041205"
"01072","CEYZERIAT","01250","CEYZERIAT",,"46.182176001722326,5.319087738353792","46.182176001722326","5.319087738353792"
"01073","CEYZERIEU","01350","CEYZERIEU",,"45.8367865949032,5.719667746538649","45.8367865949032","5.719667746538649"
"01074","CHALAMONT","01320","CHALAMONT",,"46.014874462720016,5.173466366865728","46.014874462720016","5.173466366865728"
"01075","CHALEINS","01480","CHALEINS",,"46.03613135452816,4.799905102442041","46.03613135452816","4.799905102442041"
"01076","CHALEY","01230","CHALEY",,"45.95067976362644,5.540534200997842","45.95067976362644","5.540534200997842"
"01077","CHALLES LA MONTAGNE","01450","CHALLES LA MONTAGNE",,"46.12374877233985,5.455974000725723","46.12374877233985","5.455974000725723"
"01078","CHALLEX","01630","CHALLEX",,"46.176474655502346,5.973528345429658","46.176474655502346","5.973528345429658"
"01079","CHAMPAGNE EN VALROMEY","01260","CHAMPAGNE EN VALROMEY",,"45.93166087657328,5.692108926052637","45.93166087657328","5.692108926052637"
"01079","CHAMPAGNE EN VALROMEY","01260","CHAMPAGNE EN VALROMEY","LILIGNOD","45.93166087657328,5.692108926052637","45.93166087657328","5.692108926052637"
"01079","CHAMPAGNE EN VALROMEY","01260","CHAMPAGNE EN VALROMEY","PASSIN","45.93166087657328,5.692108926052637","45.93166087657328","5.692108926052637"
"01080","CHAMPDOR CORCELLES","01110","CHAMPDOR CORCELLES","CHAMPDOR","46.03708602229962,5.588248442804457","46.03708602229962","5.588248442804457"
