Libellé du site,Caractéristique du site,Adresse,Complément d'adresse,Lieu dit,Code Postal,Localité,Code INSEE de la commune,Pays
VARS STE MARIE AP,AGENCE POSTALE,GRAND RUE,361,0,05560,VARS,05177,FRANCE
LES ORRES PRAMOUTON AP,AGENCE POSTALE,STATION DES ORRES,CENTRE ADMINISTRATIF,0,05200,LES ORRES,05098,FRANCE
ASPRES SUR BUECH BP,BUREAU DE POSTE,AVENUE DE LA GARE,,0,05140,ASPRES SUR BUECH,05010,FRANCE
CHABOTTES AP,AGENCE POSTALE,LIEU DIT HAUTE PLAINE,,0,05260,CHABOTTES,05029,FRANCE
CHAUFFAYER AP,AGENCE POSTALE,LE VILLAGE,,CHAUFFAYER,05800,AUBESSAGNE,05039,FRANCE
ESPINASSES BP,BUREAU DE POSTE,LE VILLAGE,,0,05190,ESPINASSES,05050,FRANCE
LA FARE EN CHAMPSAUR AP,AGENCE POSTALE,RN 85 LES BARRAQUES,,0,05500,LA FARE EN CHAMPSAUR,05054,FRANCE
GAP R P,BUREAU CENTRE,18 RUE CARNOT,,0,05008,GAP CEDEX,05061,FRANCE
LA CHAPELLE EN VALGAUDEMAR BP,BUREAU DE POSTE,LE VILLAGE,,0,05800,LA CHAPELLE EN VALGAUDEMAR,05064,FRANCE
LA JOUE DU LOUP AP,AGENCE POSTALE,PLACE DES BOUTIQUES,LA JOUE SUR LOUP,AGNIERES EN DEVOLUY,05250,LE DEVOLUY,05139,FRANCE
ST PIERRE D ARGENCON AP,AGENCE POSTALE,LE VILLAGE,,0,05140,ST PIERRE D ARGENCON,05154,FRANCE
ST JULIEN EN BEAU CHENE AP,AGENCE POSTALE,LE VILLAGE,Batiment de la mairie,0,05140,ST JULIEN EN BEAUCHENE,05146,FRANCE
MONTMAUR AP,AGENCE POSTALE,AVENUE ALBERT BONNARDEL,MAIRIE,0,05400,MONTMAUR,05087,FRANCE
LA MOTTE EN CHAMPSAUR AP,AGENCE POSTALE,LE VILLAGE,,0,05500,LA MOTTE EN CHAMPSAUR,05090,FRANCE
ORCIERES BP,BUREAU DE POSTE,LE VILLAGE,AU BOURG,0,05170,ORCIERES,05096,FRANCE
REMOLLON AP,AGENCE POSTALE,19 ROUTE DES 3 ALPES,,0,05190,REMOLLON,05115,FRANCE
LA ROCHE DES ARNAUDS BP,BUREAU DE POSTE,LA PLACE DU VILLAGE,,0,05400,LA ROCHE DES ARNAUDS,05123,FRANCE
ANCELLE AP,AGENCE POSTALE,PLACE DU VILLAGE,,0,05260,ANCELLE,05004,FRANCE
SAINT BONNET EN CHAMPSAUR BP,BUREAU DE POSTE,3 PLACE LESDIGUIERES,,0,05500,ST BONNET EN CHAMPSAUR,05132,FRANCE
SAINT ETIENNE EN DEVOLUY BP,BUREAU DE POSTE,AU BOURG,,0,05250,ST ETIENNE EN DEVOLUY,05139,FRANCE
SAINT FIRMIN EN VALGAUDEMARD BP,BUREAU DE POSTE,LE BOURG,,0,05800,ST FIRMIN EN VALGODEMARD,05142,FRANCE
SAINT JEAN ST NICOLAS BP,BUREAU DE POSTE,PLACE DE LA POSTE,,LE PONT DU FOSSE,05260,ST JEAN ST NICOLAS,05145,FRANCE
SAINT JULIEN EN CHAMPSAUR AP,AGENCE POSTALE,LE VILLAGE,,0,05500,ST JULIEN EN CHAMPSAUR,05147,FRANCE
