Libellé du site,Caractéristique du site,Adresse,Complément d'adresse,Lieu dit,Code Postal,Localité,Code INSEE de la commune,Pays
CHAMPAGNE EN VALROMEY AP,AGENCE POSTALE,PLACE BRILLAT SAVARIN,,0,01260,CHAMPAGNE EN VALROMEY,01079,FRANCE
CHAMPDOR AP,AGENCE POSTALE,RUE PRINCIPALE,,CHAMPDOR,01110,CHAMPDOR CORCELLES,01080,FRANCE
CHANAY AP,AGENCE POSTALE,7 PLACE DES TILLEULS,,0,01420,CHANAY,01082,FRANCE
CORMARANCHE EN BUGEY AP,AGENCE POSTALE,1 PLACE DE LA MAIRIE,MAIRIE,CORMARANCHE EN BUGEY,01110,PLATEAU D HAUTEVILLE,01185,FRANCE
CULOZ BP,BUREAU DE POSTE,5 RUE DE LA ROSERAIE,,0,01350,CULOZ,01138,FRANCE
HAUTEVILLE LOMPNES BP,BUREAU DE POSTE,350 RUE DE LA REPUBLIQUE,,0,01110,HAUTEVILLE LOMPNES,01185,FRANCE
RUFFIEU AP,AGENCE POSTALE,40 RUE DE LA MAIRIE,40 rue de la mairie,RUFFIEU,01260,RUFFIEU,01187,FRANCE
THEZILLIEU AP,AGENCE POSTALE,16 ROUTE DE VIRIEU,,THEZILLIEU,01110,PLATEAU D HAUTEVILLE,01185,FRANCE
VIRIEU LE GRAND BP,BUREAU DE POSTE,PLACE HONORE D URFE,,0,01510,VIRIEU LE GRAND,01452,FRANCE
BOURG EN BRESSE PREFECTURE,BUREAU CENTRE,AVENUE ALPHONSE MUSCAT,,BP 10322,01011,BOURG EN BRESSE CEDEX,01053,FRANCE
BOURG EN BRESSE FONTAINE BERNARD BP,BUREAU DE POSTE,14 RUE BERNARD,,0,01000,BOURG EN BRESSE,01053,FRANCE
BOURG AMEDEE MERCIER AP,AGENCE POSTALE,57 AVENUE AMEDEE MERCIER,,0,01000,BOURG EN BRESSE,01053,FRANCE
LENT AP,AGENCE POSTALE,8 PLACE DE LA MAIRIE,,0,01240,LENT,01211,FRANCE
BOURG LES VENNES AP,AGENCE POSTALE,11 RUE DE LA FONTAINE,MAISON DE QUARTIER DES VENNES,0,01000,BOURG EN BRESSE,01053,FRANCE
MARLIEUX AP,AGENCE POSTALE,1 PLACE DE LA MAIRIE,,0,01240,MARLIEUX,01235,FRANCE
MONTAGNAT AP,AGENCE POSTALE,135 CHEMIN DE L EGLISE,,0,01250,MONTAGNAT,01254,FRANCE
PERONNAS BP,BUREAU DE POSTE,RUE DE LA POSTE,,0,01960,PERONNAS,01289,FRANCE
VIRIAT AP,AGENCE POSTALE,332 RUE PROSPER CONVERT,,0,01440,VIRIAT,01451,FRANCE
BOURG EN BRESSE MAGINOT BP,BUREAU DE POSTE,45 AVENUE MAGINOT,,0,01000,BOURG EN BRESSE,01053,FRANCE
CEYZERIAT,BUREAU CENTRE,RUE JEROME LALANDE,,0,01250,CEYZERIAT,01072,FRANCE
CORVEISSIAT AP,AGENCE POSTALE,201 GRANDE RUE,BATIMENT MAIRIE,0,01250,CORVEISSIAT,01125,FRANCE
COLIGNY AP,AGENCE POSTALE,PLACE DE LA MAIRIE,,0,01270,COLIGNY,01108,FRANCE
PRIAY AP,AGENCE POSTALE,177 GRANDE RUE DE LA COTIERE,,0,01160,PRIAY,01314,FRANCE
MEILLONNAS AP,AGENCE POSTALE,PLACE DE LA MAIRIE,,0,01370,MEILLONNAS,01241,FRANCE
VAL REVERMONT AP,AGENCE POSTALE,2 PLACE DU CHAMP DE FOIRE,,TREFFORT CUISIAT,01370,VAL REVERMONT,01426,FRANCE
PONCIN BP,BUREAU DE POSTE,1 AVENUE DU PARC,,0,01450,PONCIN,01303,FRANCE
PONT D AIN BP,BUREAU DE POSTE,8 RUE LOUISE DE SAVOIE,,0,01160,PONT D AIN,01304,FRANCE
SAINT ETIENNE DU BOIS BP,BUREAU DE POSTE,190 RUE CENTRALE,,0,01370,ST ETIENNE DU BOIS,01350,FRANCE
TOSSIAT AP,AGENCE POSTALE,100 RUE LOUIS FRANCOIS JAMBON,,0,01250,TOSSIAT,01422,FRANCE
VERJON AP,AGENCE POSTALE,113 RUE DU GRAND BRULE,,0,01270,VERJON,01432,FRANCE
BAGE LE CHATEL BP,BUREAU DE POSTE,RUE CONDAMNALE,,0,01380,BAGE LE CHATEL,01026,FRANCE
BIZIAT AP,AGENCE POSTALE,40 ROUTE DE RETISSINGE,,0,01290,BIZIAT,01046,FRANCE
CHATILLON SUR CHALARONNE,BUREAU CENTRE,270 AVENUE RAYMOND SARBACH,,0,01400,CHATILLON SUR CHALARONNE,01093,FRANCE
CHAVEYRIAT AP,AGENCE POSTALE,55 RUE DE LA MAIRIE,,0,01660,CHEVEYRIAT,01096,FRANCE
CONDEISSIAT AP,AGENCE POSTALE,AU VILLAGE,,0,01400,CONDEISSIAT,01113,FRANCE
FEILLENS BP,BUREAU DE POSTE,815 GRANDE RUE,,0,01570,FEILLENS,01159,FRANCE
ATTIGNAT AP,AGENCE POSTALE,305 GRANDE RUE,,0,01340,ATTIGNAT,01024,FRANCE
MEZERIAT BP,BUREAU DE POSTE,41 PLACE DU MARCHE,,0,01660,MEZERIAT,01246,FRANCE
POLLIAT AP,AGENCE POSTALE,36 RUE DE L EGLISE,,0,01310,POLLIAT,01301,FRANCE
MONTMERLE SUR SAONE BP,BUREAU DE POSTE,6 PLACE DE L EGLISE,,0,01090,MONTMERLE SUR SAONE,01263,FRANCE
MONTREVEL EN BRESSE BP,BUREAU DE POSTE,9 PLACE DU 3 SEPTEMBRE,,0,01340,MONTREVEL EN BRESSE,01266,FRANCE
NEUVILLE LES DAMES AP,AGENCE POSTALE,ALLEE SOPHIE DE GROUCHY,,0,01400,NEUVILLE LES DAMES,01272,FRANCE
PONT DE VAUX BP,BUREAU DE POSTE,77 RUE MAL DE LATTRE DE TASSIGNY,,0,01190,PONT DE VAUX,01305,FRANCE
PONT DE VEYLE BP,BUREAU DE POSTE,18 RUE DE LA POSTE,,0,01290,PONT DE VEYLE,01306,FRANCE
SAINT DIDIER SUR CHALARONNE BP,BUREAU DE POSTE,23 ALLEE DU CENTRE,,0,01140,ST DIDIER SUR CHALARONNE,01348,FRANCE
SAINT ETIENNE SUR CHALARONNE AP,AGENCE POSTALE,1 PLACE DES COMBATTANTS,MAIRIE,0,01140,ST ETIENNE SUR CHALARONNE,01351,FRANCE
SAINT JULIEN SUR REYSSOUZE AP,AGENCE POSTALE,5 PLACE DE LA MAIRIE,,0,01560,ST JULIEN SUR REYSSOUZE,01367,FRANCE
SAINT NIZIER LE BOUCHOUX AP,AGENCE POSTALE,119 GRANDE RUE,Le Bourg,0,01560,ST NIZIER LE BOUCHOUX,01380,FRANCE
SAINT TRIVIER DE COURTES BP,BUREAU DE POSTE,22 ESPLANADE DE LA POSTE,,0,01560,ST TRIVIER DE COURTES,01388,FRANCE
SAINT TRIVIER SUR MOIGNANS AP,AGENCE POSTALE,PLACE DE L HOTEL DE VILLE,MAIRIE,0,01990,ST TRIVIER SUR MOIGNANS,01389,FRANCE
SERMOYER AP,AGENCE POSTALE,31 PLACE DU MARCHE,,0,01190,SERMOYER,01402,FRANCE
THOISSEY BP,BUREAU DE POSTE,23 RUE DE L EGLISE,CITE ADMINISTRATIVE,0,01140,THOISSEY,01420,FRANCE
VONNAS BP,BUREAU DE POSTE,56 RUE CLAUDE MOREL,,0,01540,VONNAS,01457,FRANCE
CHEVRY AP,AGENCE POSTALE,254 RUE SAINT MAURICE,,0,01170,CHEVRY,01103,FRANCE
DIVONNE LES BAINS BP,BUREAU DE POSTE,PLACE DE L EGLISE,,0,01220,DIVONNE LES BAINS,01143,FRANCE
FERNEY VOLTAIRE,BUREAU CENTRE,1 AVENUE VOLTAIRE,,BP 135,01216,FERNEY VOLTAIRE CEDEX,01160,FRANCE
GEX BP,BUREAU DE POSTE,15 RUE DES ACACIAS,,0,01170,GEX,01173,FRANCE
GRILLY AP,AGENCE POSTALE,34 CHEMIN JACQUES BELAY,,0,01220,GRILLY,01180,FRANCE
PREVESSIN CERN BP,BUREAU DE POSTE,ROUTE DE SAINT GENIS,SAINT GENIS POUILLY,0,01280,PREVESSIN MOENS,01313,FRANCE
SAINT GENIS POUILLY BP,BUREAU DE POSTE,RUE DE LA PRAIRIE,BP 57,0,01630,ST GENIS POUILLY,01354,FRANCE
THOIRY BP,BUREAU DE POSTE,342 RUE BRIAND STRESEMANN,,0,01710,THOIRY,01419,FRANCE
PREVESSIN MOENS BP,BUREAU DE POSTE,88 CHEMIN DE L EGLISE,LE COLOMBIER,0,01280,PREVESSIN MOENS,01313,FRANCE
LA BOISSE AP,AGENCE POSTALE,31 PLACE MARCEL VIENOT,AGENCE POSTALE COMMUNALE,0,01120,LA BOISSE,01049,FRANCE
DAGNEUX AP,AGENCE POSTALE,PLACE DES TILLEULS,,0,01120,DAGNEUX,01142,FRANCE
MIRIBEL,BUREAU CENTRE,SQUARE LUCIEN AGNEL,,0,01700,MIRIBEL,01249,FRANCE
BEYNOST AP,AGENCE POSTALE,107 RUE DU MIDI,,0,01700,BEYNOST,01043,FRANCE
MONTLUEL BP,BUREAU DE POSTE,226 AVENUE DE LA GARE,,BP 85,01123,MONTLUEL CEDEX,01262,FRANCE
SAINT MAURICE DE BEYNOST BP,BUREAU DE POSTE,CITE DES FOLLIETS,92 BATIMENT ARC EN CIEL,0,01700,ST MAURICE DE BEYNOST,01376,FRANCE
IZERNORE BP,BUREAU DE POSTE,551 GRANDE RUE,,0,01580,IZERNORE,01192,FRANCE
MAILLAT AP,AGENCE POSTALE,110 ROUTE DE PEYRIAT,,0,01430,MAILLAT,01228,FRANCE
MARTIGNAT AP,AGENCE POSTALE,195 GRANDE RUE,MAIRIE,0,01100,MARTIGNAT,01237,FRANCE
ARBENT AP,AGENCE POSTALE,1 PLACE DE LA MAIRIE,,0,01100,ARBENT,01014,FRANCE
MONTREAL LA CLUSE BP,BUREAU DE POSTE,18 AVENUE DE BRESSE,,BP 75,01460,MONTREAL LA CLUSE,01265,FRANCE
NURIEUX VOLOGNAT AP,AGENCE POSTALE,2 CHEMIN DE LA FONTAINE,,0,01460,NURIEUX VOLOGNAT,01267,FRANCE
NANTUA BP,BUREAU DE POSTE,26 RUE DE L HOTEL DE VILLE,,0,01130,NANTUA,01269,FRANCE
OYONNAX,BUREAU CENTRE,69 COURS DE VERDUN,,0,01108,OYONNAX CEDEX,01283,FRANCE
SAINT MARTIN DU FRESNE AP,AGENCE POSTALE,1 PLACE DE LA MAIRIE,,0,01430,ST MARTIN DU FRENE,01373,FRANCE
OYONNAX ANATOLE FRANCE BP,BUREAU DE POSTE,4 PLACE DU 11 NOVEMBRE 1943,,0,01100,OYONNAX,01283,FRANCE
AMBERIEU EN DOMBES BP,BUREAU DE POSTE,240 RUE GOMBETTE,,0,01330,AMBERIEUX EN DOMBES,01005,FRANCE
ARS SUR FORMANS BP,BUREAU DE POSTE,RUE JEAN MARIE VIANNEY,,0,01480,ARS SUR FORMANS,01021,FRANCE
BEAUREGARD AP,AGENCE POSTALE,99 RUE HECTOR BERLIOZ,MAIRIE,0,01480,BEAUREGARD,01030,FRANCE
JASSANS RIOTTIER BP,BUREAU DE POSTE,208 PLACE DE LIMELETTE,,0,01480,JASSANS RIOTTIER,01194,FRANCE
VILLARS LES DOMBES AP,AGENCE POSTALE,25 PLACE DE L HOTEL DE VILLE,,0,01330,VILLARS LES DOMBES,01443,FRANCE
PARCIEUX AP,AGENCE POSTALE,ROUTE DE GENAY,,0,01600,PARCIEUX,01285,FRANCE
SAINT ANDRE DE CORCY BP,BUREAU DE POSTE,LES MILLIERES,,0,01390,ST ANDRE DE CORCY,01333,FRANCE
SAINT BERNARD AP,AGENCE POSTALE,390 RUE DE LA SAONE,,0,01600,ST BERNARD,01339,FRANCE
TREVOUX,BUREAU CENTRE,6 BOULEVARD DES COMBATTANTS,,BP 600,01606,TREVOUX CEDEX,01427,FRANCE
ARPHEUILLES SAINT PRIEST AP,AGENCE POSTALE,LE BOURG,,0,03420,ARPHEUILLES ST PRIEST,03007,FRANCE
BEZENET BP,BUREAU DE POSTE,87 ROUTE NATIONALE,,0,03170,BEZENET,03027,FRANCE
CHAMBLET AP,AGENCE POSTALE,PLACE DU 11 NOVEMBRE,,0,03170,CHAMBLET,03052,FRANCE
CHAPPES AP,AGENCE POSTALE,LE BOURG,,0,03390,CHAPPES,03058,FRANCE
COMMENTRY,BUREAU CENTRE,9 RUE CHRISTOPHE THIVRIER,,0,03600,COMMENTRY,03082,FRANCE
DENEUILLE LES MINES AP,AGENCE POSTALE,LE BOURG,,0,03170,DENEUILLE LES MINES,03097,FRANCE
DOYET BP,BUREAU DE POSTE,PLACE JEAN JAURES,,0,03170,DOYET,03104,FRANCE
MARCILLAT EN COMBRAILLE BP,BUREAU DE POSTE,LE BOURG,,0,03420,MARCILLAT EN COMBRAILLE,03161,FRANCE
MONTMARAULT BP,BUREAU DE POSTE,12 BOULEVARD CARNOT,,0,03390,MONTMARAULT,03186,FRANCE
MONTVICQ BP,BUREAU DE POSTE,PLACE DE L EGLISE,,0,03170,MONTVICQ,03189,FRANCE
MURAT AP,AGENCE POSTALE,5 PAUL LASSAUZE,,0,03390,MURAT,03191,FRANCE
NERIS LES BAINS BP,BUREAU DE POSTE,RUE VOLTAIRE,RUE REGNIER,0,03310,NERIS LES BAINS,03195,FRANCE
LA PETITE MARCHE AP,AGENCE POSTALE,LE BOURG,,0,03420,LA PETITE MARCHE,03206,FRANCE
VILLEFRANCHE D ALLIER BP,BUREAU DE POSTE,AVENUE VICTOR HUGO,,0,03430,VILLEFRANCHE D ALLIER,03315,FRANCE
VOUSSAC AP,AGENCE POSTALE,LE BOURG,,31 LA GRANDE RUE,03140,VOUSSAC,03319,FRANCE
BIOLLET AP,AGENCE POSTALE,LE BOURG,,0,63640,BIOLLET,63041,FRANCE
CHARENSAT BP,BUREAU DE POSTE,50 RUE DE CHANCELADE,,0,63640,CHARENSAT,63094,FRANCE
ESPINASSE AP,AGENCE POSTALE,LE BOURG,,0,63390,ESPINASSE,63152,FRANCE
LAPEYROUSE AP,AGENCE POSTALE,LE BOURG,,0,63700,LAPEYROUSE,63187,FRANCE
MENAT AP,AGENCE POSTALE,LE BOURG,,0,63560,MENAT,63223,FRANCE
PIONSAT BP,BUREAU DE POSTE,RUE DU COLLEGE,,0,63330,PIONSAT,63281,FRANCE
SAINT ELOY LES MINES BP,BUREAU DE POSTE,124 RUE JEAN JAURES,,0,63700,ST ELOY LES MINES,63338,FRANCE
SAINT GERVAIS D AUVERGNE BP,BUREAU DE POSTE,PLACE DU 1ER MAI,,0,63390,ST GERVAIS D AUVERGNE,63354,FRANCE
SAINT MAURICE PRES PIONSAT AP,AGENCE POSTALE,ROUTE DE LA LIBERATION,,0,63330,ST MAURICE PRES PIONSAT,63377,FRANCE
SAINT PRIEST DES CHAMPS AP,AGENCE POSTALE,LE BOURG,MAIRIE,0,63640,ST PRIEST DES CHAMPS,63388,FRANCE
BELLENAVES BP,BUREAU DE POSTE,5 RUE DU ROUSSILLON,,0,03330,BELLENAVES,03022,FRANCE
ECHASSIERES AP,AGENCE POSTALE,LIEU DIT LE BOURG,,0,03330,ECHASSIERES,03108,FRANCE
ESCUROLLES AP,AGENCE POSTALE,RUE DE LA POSTE,,0,03110,ESCUROLLES,03109,FRANCE
LALIZOLLE AP,AGENCE POSTALE,1 PLACE DE LA LIBERTE,,0,03450,LALIZOLLE,03135,FRANCE
GANNAT,BUREAU CENTRE,2 AVENUE DE LA REPUBLIQUE,,0,03800,GANNAT,03118,FRANCE
JENZAT AP,AGENCE POSTALE,LE BOURG,,0,03800,JENZAT,03133,FRANCE
VICQ AP,AGENCE POSTALE,LE BOURG,,0,03450,VICQ,03311,FRANCE
AIGUEPERSE BP,BUREAU DE POSTE,184 GRANDE RUE,,0,63260,AIGUEPERSE,63001,FRANCE
ARTONNE AP,AGENCE POSTALE,25 GRANDE RUE,,0,63460,ARTONNE,63012,FRANCE
CHAMPS AP,AGENCE POSTALE,5 IMPASSE DE LA MAIRIE,,0,63440,CHAMPS,63082,FRANCE
COMBRONDE BP,BUREAU DE POSTE,2 RUE DE LA POSTE,,0,63460,COMBRONDE,63116,FRANCE
RANDAN BP,BUREAU DE POSTE,12 PLACE DE LA MAIRIE,,0,63310,RANDAN,63295,FRANCE
SAINT PARDOUX BP,BUREAU DE POSTE,ROUTE DE MONTLUCON,,0,63440,ST PARDOUX,63382,FRANCE
CHEVAGNES AP,AGENCE POSTALE,1 ROUTE NATIONALE,MAIRIE,0,03230,CHEVAGNES,03074,FRANCE
CINDRE AP,AGENCE POSTALE,ROUTE DE PUYFOL,MAIRIE,0,03220,CINDRE,03079,FRANCE
COULANGES AP,AGENCE POSTALE,20 RUE NATIONALE,,0,03470,COULANGES,03086,FRANCE
DOMPIERRE SUR BESBRE BP,BUREAU DE POSTE,284 RUE NATIONALE,,0,03290,DOMPIERRE SUR BESBRE,03102,FRANCE
LE DONJON BP,BUREAU DE POSTE,5 PLACE DE LA REPUBLIQUE,,0,03130,LE DONJON,03103,FRANCE
GANNAY SUR LOIRE BP,BUREAU DE POSTE,10 ROUTE DE DECIZE,LE BOURG,0,03230,GANNAY SUR LOIRE,03119,FRANCE
GARNAT SUR ENGIEVRE AP,AGENCE POSTALE,19 RUE DE LA MAIRIE,,0,03230,GARNAT SUR ENGIEVRE,03120,FRANCE
ISSERPENT AP,AGENCE POSTALE,MAIRIE LE BOURG,,0,03120,ISSERPENT,03131,FRANCE
LAPALISSE,BUREAU CENTRE,4 PLACE MARECHAL LECLERC,,0,03120,LAPALISSE,03138,FRANCE
LENAX AP,AGENCE POSTALE,3 ROUTE DE LAPALISSE,,0,03130,LENAX,03142,FRANCE
MONETAY SUR LOIRE AP,AGENCE POSTALE,LE BOURG,,0,03470,MONETAY SUR LOIRE,03177,FRANCE
MONTAIGUET EN FOREZ AP,AGENCE POSTALE,1 RUE DE LA VIEILLE PORTE,,0,03130,MONTAIGUET EN FOREZ,03178,FRANCE
MONTCOMBROUX LES MINES AP,AGENCE POSTALE,1 RUE DU 18 JUIN 1940,,0,03130,MONTCOMBROUX LES MINES,03181,FRANCE
PIERREFITTE SUR LOIRE AP,AGENCE POSTALE,12 route de Coulanges,,0,03470,PIERREFITTE SUR LOIRE,03207,FRANCE
LE PIN AP,AGENCE POSTALE,4 RUE DE LA MAIRIE,,0,03130,LE PIN,03208,FRANCE
SAINT LEON AP,AGENCE POSTALE,12 RUE DU CONVENTIONNEL BEAUCHAMP,LE BOURG,0,03220,ST LEON,03240,FRANCE
SAINT POURCAIN SUR BESBRE AP,AGENCE POSTALE,17 ROUTE DES TILLEULS,,0,03290,ST POURCAIN SUR BESBRE,03253,FRANCE
SALIGNY SUR ROUDON AP,AGENCE POSTALE,11 ROUTE DU DONJON,,0,03470,SALIGNY SUR ROUDON,03265,FRANCE
THIEL SUR ACOLIN AP,AGENCE POSTALE,12 GRANDE RUE,,0,03230,THIEL SUR ACOLIN,03283,FRANCE
TRETEAU AP,AGENCE POSTALE,1 PLACE DE LA MAIRIE,,0,03220,TRETEAU,03289,FRANCE
TREZELLES AP,AGENCE POSTALE,LE BOURG,,0,03220,TREZELLES,03291,FRANCE
ARFEUILLES AP,AGENCE POSTALE,PLACE DES VICTOIRES,,0,03120,ARFEUILLES,03006,FRANCE
LUSIGNY AP,AGENCE POSTALE,8 rue de la mairie,,0,03230,LUSIGNY,03156,FRANCE
BEAULON AP,AGENCE POSTALE,2 RUE DE LA POSTE,,0,03230,BEAULON,03019,FRANCE
MOLINET AP,AGENCE POSTALE,PLACE CHARLES VERTRAY,,0,03510,MOLINET,03173,FRANCE
AUDES AP,AGENCE POSTALE,3 PLACE DU MONUMENT,,0,03190,AUDES,03010,FRANCE
LA CHAPELAUDE AP,AGENCE POSTALE,route george sand,,0,03380,LA CHAPELAUDE,03055,FRANCE
COSNE D ALLIER BP,BUREAU DE POSTE,PLACE DU MARCHE,,0,03430,COSNE D ALLIER,03084,FRANCE
DESERTINES BP,BUREAU DE POSTE,9 RUE JOLIOT CURIE,,0,03630,DESERTINES,03098,FRANCE
DOMERAT BP,BUREAU DE POSTE,BOULEVARD VICTOR HUGO,,0,03410,DOMERAT,03101,FRANCE
HERISSON AP,AGENCE POSTALE,4 Avenue Marcellin Simonnet,Place Louis Lagarde,0,03190,HERISSON,03127,FRANCE
HURIEL BP,BUREAU DE POSTE,PLACE DE LA TOQUE,,0,03380,HURIEL,03128,FRANCE
MEAULNE AP,AGENCE POSTALE,10 PLACE DE LA MAIRIE,,0,03360,MEAULNE,03168,FRANCE
MONTLUCON CHATEAU,BUREAU CENTRE,PLACE PIQUANT,,0,03109,MONTLUCON CEDEX,03185,FRANCE
QUINSSAINES AP,AGENCE POSTALE,3 Rue de la Mairie,,0,03380,QUINSSAINES,03212,FRANCE
SAINT DESIRE COURCAIS AP,AGENCE POSTALE,7 RUE DE LA GARE,,0,03370,ST DESIRE,03225,FRANCE
SAINT SAUVIER AP,AGENCE POSTALE,LE BOURG,,0,03370,ST SAUVIER,03259,FRANCE
SAINT VICTOR AP,AGENCE POSTALE,7 RUE ANDRE GIDE,,0,03410,ST VICTOR,03262,FRANCE
TEILLET ARGENTY AP,AGENCE POSTALE,23 GRANDE RUE,,0,03410,TEILLET ARGENTY,03279,FRANCE
TREIGNAT AP,AGENCE POSTALE,8 AVENUE DE LA GARE,,0,03380,TREIGNAT,03288,FRANCE
URCAY AP,AGENCE POSTALE,25 ROUTE NATIONALE,,0,03360,URCAY,03293,FRANCE
VALLON EN SULLY BP,BUREAU DE POSTE,RUE PAUL CONSTANS,,0,03190,VALLON EN SULLY,03297,FRANCE
VAUX AP,AGENCE POSTALE,15 RUE SAINT EXUPERY,,0,03190,VAUX,03301,FRANCE
VIEURE AP,AGENCE POSTALE,MAIRIE,,0,03430,VIEURE,03312,FRANCE
VIPLAIX AP,AGENCE POSTALE,3 ROUTE DE SAINT PALAIS,,0,03370,VIPLAIX,03317,FRANCE
PREMILHAT APC AP,AGENCE POSTALE,8 RUE DE L EGLISE,,0,03410,PREMILHAT,03211,FRANCE
MONTLUCON BIEN ASSIS AP,AGENCE POSTALE,1 PLACE DANIELLE CASANOVA,,0,03100,MONTLUCON,03185,FRANCE
ESTIVAREILLES LPAC AP,AGENCE POSTALE,10 PLACE DU LAMPIER,,0,03190,ESTIVAREILLES,03111,FRANCE
MONTLUCON REPUBLIQUE BP,BUREAU DE POSTE,RUE DOCTEUR ROBERT GAGNE,,0,03108,MONTLUCON CEDEX,03185,FRANCE
MONTLUCON FONTBOUILLANT BP,BUREAU DE POSTE,AVENUE DE FONTBOUILLANT,,0,03107,MONTLUCON CEDEX,03185,FRANCE
AGONGES AP,AGENCE POSTALE,1 PLACE DE L EGLISE,,0,03210,AGONGES,03002,FRANCE
AINAY LE CHATEAU BP,BUREAU DE POSTE,20 RUE DE L HORLOGE,,0,03360,AINAY LE CHATEAU,03003,FRANCE
MOULINS LES CHARTREUX AP,AGENCE POSTALE,RUE DE DECIZE,CENTRE COMMERCIAL DES CHARTREUX,0,03000,MOULINS,03190,FRANCE
AVERMES AP,AGENCE POSTALE,PRE BERCY 1,,0,03000,AVERMES,03013,FRANCE
BESSAY SUR ALLIER AP,AGENCE POSTALE,1 PLACE THEODORE DE BANVILLE,,0,03340,BESSAY SUR ALLIER,03025,FRANCE
BESSON AP,AGENCE POSTALE,23 PLACE DE LA MAIRIE,,0,03210,BESSON,03026,FRANCE
BOURBON L ARCHAMBAULT BP,BUREAU DE POSTE,7 RUE DU MOULIN,,0,03160,BOURBON L ARCHAMBAULT,03036,FRANCE
LE BRETHON AP,AGENCE POSTALE,LE BOURG,,0,03350,LE BRETHON,03041,FRANCE
CERILLY BP,BUREAU DE POSTE,58 AVENUE JEAN JAURES,,0,03350,CERILLY,03048,FRANCE
CHEMILLY AP,AGENCE POSTALE,1 PLACE SAINT DENIS,,0,03210,CHEMILLY,03073,FRANCE
COULEUVRE AP,AGENCE POSTALE,21 RUE JULES FERRY,,0,03320,COULEUVRE,03087,FRANCE
SAINT PLAISIR AP,AGENCE POSTALE,5 GRANDE RUE,,0,03160,ST PLAISIR,03251,FRANCE
FRANCHESSE AP,AGENCE POSTALE,LE BOURG,,0,03160,FRANCHESSE,03117,FRANCE
BRESNAY AP,AGENCE POSTALE,222 ROUTE DE SOUVIGNY,AGENCE POSTALE COMMUNALE,0,03210,BRESNAY,03039,FRANCE
GOUISE AP,AGENCE POSTALE,LE BOURG,,0,03340,GOUISE,03124,FRANCE
LOUROUX BOURBONNAIS AP,AGENCE POSTALE,LE BOURG,,0,03350,LOUROUX BOURBONNAIS,03150,FRANCE
LURCY LEVIS BP,BUREAU DE POSTE,69 BOULEVARD GAMBETTA,,0,03320,LURCY LEVIS,03155,FRANCE
MONTBEUGNY AP,AGENCE POSTALE,RUE DE L  AGRICULTURE,,0,03340,MONTBEUGNY,03180,FRANCE
MOULINS LES MARINIERS,BUREAU CENTRE,40 PLACE JEAN MOULIN,,BP 1835,03018,MOULINS CEDEX,03190,FRANCE
POUZY MESANGY AP,AGENCE POSTALE,9 RUE PIERRE PERONNEAU,9 RUE PIERRE PERONNEAU,0,03320,POUZY MESANGY,03210,FRANCE
SAINT BONNET TRONCAIS AP,AGENCE POSTALE,12 PLACE DE L EGLISE,,0,03360,ST BONNET TRONCAIS,03221,FRANCE
SAINT LEOPARDIN D'AUGY AP,AGENCE POSTALE,LIEU DIT LE BOURG,,0,03160,ST LEOPARDIN D AUGY,03241,FRANCE
SAINT MENOUX BP,BUREAU DE POSTE,1 IMPASSE DE LA POSTE,,0,03210,ST MENOUX,03247,FRANCE
SOUVIGNY BP,BUREAU DE POSTE,ROUTE DE MONTLUCON,,0,03210,SOUVIGNY,03275,FRANCE
THENEUILLE AP,AGENCE POSTALE,PLACE DE LA MAIRIE,,0,03350,THENEUILLE,03282,FRANCE
TREVOL AP,AGENCE POSTALE,5 ROUTE DE MOULINS,,0,03460,TREVOL,03290,FRANCE
VALIGNY AP,AGENCE POSTALE,15 ROUTE D AINAY,,0,03360,VALIGNY,03296,FRANCE
LE VEURDRE BP,BUREAU DE POSTE,19RUE DE BOURBON L ARCHAMBAULT,,0,03320,LE VEURDRE,03309,FRANCE
LE VILHAIN AP,AGENCE POSTALE,24 RUE DU BOURG,,0,03350,LE VILHAIN,03313,FRANCE
VILLENEUVE SUR ALLIER AP,AGENCE POSTALE,57 ROUTE DE PARIS,MAIRIE,0,03460,VILLENEUVE SUR ALLIER,03316,FRANCE
YGRANDE AP,AGENCE POSTALE,9 RUE EMILE GUILLAUMIN,,0,03160,YGRANDE,03320,FRANCE
YZEURE BP,BUREAU DE POSTE,PLACE DE BENDORF,,0,03401,YZEURE CEDEX,03321,FRANCE
NEUILLY LE REAL LPAC AP,AGENCE POSTALE,13 PLACE DE LA MAIRIE,,0,03340,NEUILLY LE REAL,03197,FRANCE
YZEURE BATAILLOTS AP,AGENCE POSTALE,13 RUE DU GENERAL LECLERC,,0,03400,YZEURE,03321,FRANCE
AVERMES CENTRE BP,BUREAU DE POSTE,42 RUE DE LA REPUBLIQUE,42 RUE DE L,0,03000,AVERMES,03013,FRANCE
MOULINS CHAMPINS BP,BUREAU DE POSTE,CONTRE ALLEE DES LAURIERS,ILOT THONIER,0,03000,MOULINS,03190,FRANCE
MOULINS LA MADELEINE AP,AGENCE POSTALE,15 AVENUE DE LA LIBERATION,,0,03000,MOULINS,03190,FRANCE
BAYET AP,AGENCE POSTALE,21 RUE DES LUMINAIRES,,0,03500,BAYET,03018,FRANCE
BILLY AP,AGENCE POSTALE,7 RUE DU CHATEAU,,0,03260,BILLY,03029,FRANCE
