,id,nom_serie,numero_episode,numero_saison,date_diffusion,pays,chaine_diffusion,url
155,156,Last Week Tonight With John Oliver,12,10,08-10-2023,Etats-Unis,HBO,episode12-411014-08102023-saison10-Last-Week-Tonight-With-John-Oliver.html
156,157,Les Mystères de l'amour,9,33,08-10-2023,France,TMC,episode09-410595-08102023-saison33-Les-Mysteres-de-l-amour.html
157,158,SkyMed,2,2,08-10-2023,Canada,CBC Gem,episode02-410740-08102023-saison2-SkyMed.html
158,159,The Simpsons,2,35,08-10-2023,Etats-Unis,Fox,episode02-410728-08102023-saison35-The-Simpsons.html
159,160,The Walking Dead: Daryl Dixon,5,1,08-10-2023,Etats-Unis,AMC,episode05-409848-08102023-saison1-The-Walking-Dead-Daryl-Dixon.html
160,161,The Winter King,6,1,08-10-2023,Royaume-Uni,ITVX,episode06-409132-08102023-saison1-The-Winter-King.html
161,162,When Calls the Heart,11,10,08-10-2023,Etats-Unis,Hallmark Channel,episode11-407540-08102023-saison10-When-Calls-the-Heart.html
162,163,5è Rang,5,6,09-10-2023,Canada,Radio Canada,episode05-410914-09102023-saison6-5e-Rang.html
163,164,66-5,7,1,09-10-2023,France,Canal+,episode07-410555-09102023-saison1-66-5.html
164,165,66-5,8,1,09-10-2023,France,Canal+,episode08-410556-09102023-saison1-66-5.html
165,166,Alertes,17,3,09-10-2023,Canada,TVA,episode17-411030-09102023-saison3-Alertes.html
166,167,Demain nous appartient,36,7,09-10-2023,France,TF1,episode36-411033-09102023-saison7-Demain-nous-appartient.html
167,168,Harry Wild,1,2,09-10-2023,Etats-Unis,Acorn TV,episode01-410199-09102023-saison2-Harry-Wild.html
168,169,Harry Wild,2,2,09-10-2023,Etats-Unis,Acorn TV,episode02-410200-09102023-saison2-Harry-Wild.html
169,170,Ici tout commence,31,4,09-10-2023,France,TF1,episode31-411038-09102023-saison4-Ici-tout-commence.html
170,171,Infiltré(e),5,1,09-10-2023,France,France 2,episode05-410720-09102023-saison1-Infiltre(e).html
171,172,Infiltré(e),6,1,09-10-2023,France,France 2,episode06-410721-09102023-saison1-Infiltre(e).html
172,173,Kamikaze (NOR),4,1,09-10-2023,Suède,Discovery +,episode04-411031-09102023-saison1-Kamikaze-(NOR).html
173,174,Mentiras pasajeras,1,1,09-10-2023,Etats-Unis,Paramount+,episode01-410619-09102023-saison1-Mentiras-pasajeras.html
174,175,Murdoch Mysteries,2,17,09-10-2023,Canada,Citytv,episode02-410605-09102023-saison17-Murdoch-Mysteries.html
175,176,Narvalo,5,3,09-10-2023,France,Canal+,episode05-410629-09102023-saison3-Narvalo.html
176,177,SOKO Potsdam,3,6,09-10-2023,Allemagne,ZDF,episode03-410908-09102023-saison6-SOKO-Potsdam.html
177,178,The Irrational,3,1,09-10-2023,Etats-Unis,NBC,episode03-409679-09102023-saison1-The-Irrational.html
178,179,Un Si Grand Soleil,27,6,09-10-2023,France,France 2,episode27-411043-09102023-saison6-Un-Si-Grand-Soleil.html
179,180,Ví?az,6,1,09-10-2023,Etats-Unis,Showtime,episode06-410697-09102023-saison1-Viaz.html
180,181,Alexandra Ehle,2,4,10-10-2023,France,France 3,episode02-405395-10102023-saison4-Alexandra-Ehle.html
181,182,À coeur battant,5,2,10-10-2023,Canada,Radio Canada,episode05-410930-10102023-saison2-A-coeur-battant.html
182,183,Club Soly,5,3,10-10-2023,Canada,Noovo.ca,episode05-411047-10102023-saison3-Club-Soly.html
183,184,Demain nous appartient,37,7,10-10-2023,France,TF1,episode37-411034-10102023-saison7-Demain-nous-appartient.html
184,185,Found,2,1,10-10-2023,Etats-Unis,NBC,episode02-409591-10102023-saison1-Found.html
185,186,Ici tout commence,32,4,10-10-2023,France,TF1,episode32-411039-10102023-saison4-Ici-tout-commence.html
186,187,4EVER,1,1,11-10-2023,Etats-Unis,Disney+,episode01-411025-11102023-saison1-4EVER.html
187,188,4EVER,2,1,11-10-2023,Etats-Unis,Disney+,episode02-411026-11102023-saison1-4EVER.html
188,189,4EVER,3,1,11-10-2023,Etats-Unis,Disney+,episode03-411027-11102023-saison1-4EVER.html
189,190,4EVER,4,1,11-10-2023,Etats-Unis,Disney+,episode04-411028-11102023-saison1-4EVER.html
190,191,4EVER,5,1,11-10-2023,Etats-Unis,Disney+,episode05-411029-11102023-saison1-4EVER.html
191,192,Aller simple,5,2,11-10-2023,Canada,Noovo.ca,episode05-410650-11102023-saison2-Aller-simple.html
192,193,Aller simple,6,2,11-10-2023,Canada,Noovo.ca,episode06-411054-11102023-saison2-Aller-simple.html
193,194,American Horror Story,4,12,11-10-2023,Etats-Unis,FX,episode04-410339-11102023-saison12-American-Horror-Story.html
194,195,Archer (2009),8,14,11-10-2023,Etats-Unis,FXX,episode08-408905-11102023-saison14-Archer-(2009).html
195,196,Bones of Crows,4,1,11-10-2023,Canada,CBC,episode04-410782-11102023-saison1-Bones-of-Crows.html
196,197,Children Ruin Everything,3,3,11-10-2023,Canada,CTV,episode03-410932-11102023-saison3-Children-Ruin-Everything.html
197,198,Chucky,2,3,11-10-2023,Etats-Unis,Syfy,episode02-409115-11102023-saison3-Chucky.html
198,199,Cooper's Bar,1,2,11-10-2023,Etats-Unis,AMC,episode01-410431-11102023-saison2-Cooper-s-Bar.html
199,200,Cooper's Bar,2,2,11-10-2023,Etats-Unis,AMC,episode02-411062-11102023-saison2-Cooper-s-Bar.html
200,201,Demain nous appartient,38,7,11-10-2023,France,TF1,episode38-411035-11102023-saison7-Demain-nous-appartient.html
201,202,Hans River Police,9,1,11-10-2023,Etats-Unis,Disney+,episode09-409974-11102023-saison1-Hans-River-Police.html
202,203,Hans River Police,10,1,11-10-2023,Etats-Unis,Disney+,episode10-409975-11102023-saison1-Hans-River-Police.html
203,204,Hudson & Rex,2,6,11-10-2023,Canada,Citytv,episode02-410259-11102023-saison6-Hudson--Rex.html
204,205,Ici tout commence,33,4,11-10-2023,France,TF1,episode33-411040-11102023-saison4-Ici-tout-commence.html
205,206,Invasion (2021),8,2,11-10-2023,Etats-Unis,Apple TV+,episode08-407972-11102023-saison2-Invasion-(2021).html
206,207,La Mesias,1,1,11-10-2023,Espagne,Moviestar+,episode01-410340-11102023-saison1-La-Mesias.html
207,208,La Mesias,2,1,11-10-2023,Espagne,Moviestar+,episode02-410544-11102023-saison1-La-Mesias.html
208,209,Magnum P.I. (2018),12,5,11-10-2023,Etats-Unis,NBC,episode12-410783-11102023-saison5-Magnum-PI-(2018).html
209,210,Nada,1,1,11-10-2023,Espagne,Star+,episode01-410264-11102023-saison1-Nada.html
210,211,Nada,2,1,11-10-2023,Espagne,Star+,episode02-411069-11102023-saison1-Nada.html
211,212,Nada,3,1,11-10-2023,Espagne,Star+,episode03-411070-11102023-saison1-Nada.html
212,213,Nada,4,1,11-10-2023,Espagne,Star+,episode04-411071-11102023-saison1-Nada.html
213,214,Nada,5,1,11-10-2023,Espagne,Star+,episode05-411072-11102023-saison1-Nada.html
214,215,Pacto de Silencio,1,1,11-10-2023,Etats-Unis,Netflix,episode01-410272-11102023-saison1-Pacto-de-Silencio.html
215,216,Pacto de Silencio,2,1,11-10-2023,Etats-Unis,Netflix,episode02-411073-11102023-saison1-Pacto-de-Silencio.html
